pos	best	average	competition_id	round_type_id	event_id	person_name	person_id	format_id	regional_single_record	regional_average_record	person_country_id
16	25774	0	LyonOpen2007	c	444	Maria Oey	2007OEYM01	a	NR	NULL	Indonesia
1	11108	11731	LyonOpen2007	c	555	Frédérick Badie	2003BADI01	a	NULL	NULL	France
2	12051	12294	LyonOpen2007	c	555	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
3	12453	13688	LyonOpen2007	c	555	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
4	13281	14193	LyonOpen2007	c	555	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
5	13795	16272	LyonOpen2007	c	555	Clément Gallet	2004GALL02	a	NULL	NULL	France
6	15528	16968	LyonOpen2007	c	555	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
7	15560	18032	LyonOpen2007	c	555	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
8	18853	19691	LyonOpen2007	c	555	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
9	27100	0	LyonOpen2007	c	555	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
10	30156	0	LyonOpen2007	c	555	Gilles Roux	2004ROUX01	a	NULL	NULL	France
1	16910	-1	LyonOpen2007	f	333bf	Clément Gallet	2004GALL02	3	NULL	NULL	France
2	21930	-1	LyonOpen2007	f	333bf	Joël van Noort	2004NOOR01	3	NULL	NULL	Netherlands
3	21969	-1	LyonOpen2007	f	333bf	Jean Pons	2004PONS01	3	NULL	NULL	France
